name,latitude,longitude,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
第六中学校,35.716897,139.757472,1,1,1,1,
第八中学校,35.72437133,139.7613516,1,1,0,1,
第九中学校,35.7296435,139.7527161,1,0,0,1,
第十中学校,35.72381889,139.7428342,1,1,0,1,
文林中学校,35.72790686,139.7586417,1,0,0,1,
茗台中学校,35.71343801,139.7411538,1,1,1,1,
本郷台中学校,35.70655526,139.7589226,1,1,0,1,
音羽中学校,35.717264,139.732807,1,1,1,1,
文京江戸川橋体育館,35.710398,139.735532,1,1,1,1,
教育センター,35.708849,139.765769,1,1,1,1,
中小企業振興センター,35.70616198,139.7839155,0,0,0,0,
都立白鷗高等学校,35.70829172,139.7830294,0,0,0,0,
都立忍岡高等学校,35.70044358,139.7824538,0,0,0,0,
都立浅草高等学校,35.71938299,139.8025133,0,0,0,0,
都立蔵前工業高等学校,35.70047281,139.7910221,0,0,0,0,
都立上野高等学校,35.71855821,139.7699891,0,0,0,0,
上野小学校,35.71358413,139.7832892,0,0,0,0,
平成小学校,35.70655083,139.7800718,0,0,0,0,
根岸小学校,35.72364788,139.7789592,0,0,0,0,
東泉小学校,35.72834471,139.7921219,0,0,0,0,
忍岡小学校,35.71377866,139.7667736,0,0,0,0,
谷中小学校,35.72393248,139.7653513,0,0,0,0,
金曽木小学校,35.72571782,139.7853685,0,0,0,0,
黒門小学校,35.70702455,139.7713775,0,0,0,0,
大正小学校,35.72094943,139.7879725,0,0,0,0,
浅草小学校,35.71352857,139.7992429,0,0,0,0,
台東育英小学校,35.70029269,139.7857725,0,0,0,0,
蔵前小学校,35.70439432,139.7892641,0,0,0,0,
東浅草小学校,35.72437233,139.7985095,0,0,0,0,
富士小学校,35.71873796,139.7983667,0,0,0,0,
松葉小学校,35.71229136,139.786483,0,0,0,0,
千束小学校,35.71919279,139.7939931,0,0,0,0,
石浜小学校,35.7249094,139.80342,0,0,0,0,
田原小学校,35.71016978,139.7931625,0,0,0,0,
金竜小学校,35.71861275,139.7901664,0,0,0,0,
旧下谷小学校,35.71312709,139.7800545,0,0,0,0,
旧坂本小学校,35.72011037,139.78215,0,0,0,0,
旧柳北小学校,35.69954369,139.7825208,0,0,0,0,
たなか多目的センター,35.7278869,139.7972424,0,0,0,0,
ことぶきこども園,35.70713701,139.78914,0,0,0,0,
御徒町台東中学校,35.70695172,139.777389,0,0,0,0,
柏葉中学校,35.72328112,139.7861776,0,0,0,0,
上野中学校,35.72131604,139.7749596,0,0,0,0,
忍岡中学校,35.7190744,139.7792393,0,0,0,0,
浅草中学校,35.69992884,139.7899542,0,0,0,0,
桜橋中学校,35.72074796,139.8069489,0,0,0,0,
駒形中学校,35.71752271,139.784229,0,0,0,0,
旧竜泉中学校,35.72530398,139.7896452,0,0,0,0,
都立白鷗高等学校附属中学校,35.70724196,139.7877271,0,0,0,0,
台東一丁目区民館,35.701847,139.7778768,1,0,1,1,
東上野区民館,35.7112193,139.7797126,1,0,1,1,
老人福祉センター,35.70953954,139.7815835,1,1,1,1,
生涯学習センター,35.717287,139.789878,1,0,1,1,
産業研修センター,35.724048,139.808248,0,0,0,0,
福祉プラザ台東清峰会,35.72717,139.801304,1,0,0,1,
両国小学校,35.69375068,139.795204,1,1,0,0,
緑小学校,35.69403981,139.8013195,1,1,0,1,
中和小学校,35.69013029,139.8026145,1,1,0,0,
菊川小学校,35.69164325,139.807652,0,0,0,0,
錦糸小学校,35.69843859,139.8113824,1,1,0,1,
柳島小学校,35.70328221,139.8174877,1,0,0,0,
業平小学校,35.70650668,139.8114901,0,0,0,0,
言問小学校,35.7187663,139.8113926,1,0,0,0,
墨田中学校,35.7152247,139.8114168,0,0,0,0,
小梅小学校,35.71444464,139.8059103,0,0,0,0,
本所中学校,35.70531759,139.8028919,0,0,0,0,
横川小学校,35.70693549,139.8059316,1,1,0,0,
外手小学校,35.70250284,139.8005882,1,1,0,0,
両国中学校,35.69778325,139.7962307,1,1,0,1,
二葉小学校,35.69934219,139.8003853,1,1,0,0,
錦糸中学校,35.70143613,139.8069267,1,0,0,0,
竪川中学校,35.69673663,139.805662,1,0,0,0,
立花吾嬬の森小学校,35.70664715,139.8293596,1,1,0,1,
立花幼稚園他,35.704811,139.831694,0,0,0,0,
東吾嬬小学校,35.70851901,139.8320633,1,1,0,0,
吾嬬立花中学校,35.71277,139.832051,1,1,0,1,
中川小学校,35.71348744,139.8314741,0,1,0,0,
八広地域プラザ,35.72347426,139.8293109,1,1,0,1,
八広小学校,35.72715376,139.826251,1,1,0,0,
吾嬬第二中学校,35.72186338,139.8272801,0,1,0,1,
寺島中学校,35.72017546,139.8230896,0,1,0,0,
第三吾嬬小学校,35.71716293,139.8278763,1,1,0,1,
第四吾嬬小学校,35.71345327,139.8252317,1,1,0,1,
曳舟小学校,35.71650782,139.8212439,0,0,0,0,
文花中学校,35.71022556,139.822286,1,1,0,0,
押上小学校,35.71211027,139.8195932,1,1,0,0,
第一寺島小学校,35.72163207,139.8145522,1,1,0,1,
第三寺島小学校,35.72139925,139.8203987,1,1,0,1,
第二寺島小学校,35.7241279,139.8189168,1,0,0,0,
梅若小学校,35.73036611,139.8154798,1,1,0,1,
隅田小学校,35.73411386,139.8218431,1,1,0,0,
桜堤中学校,35.73002604,139.8114272,1,1,0,1,
木下川吾亦紅,35.721968,139.83313,1,1,1,1,
墨田区総合運動場,35.73848,139.81656,1,1,1,1,オストメイト設備・おむつ交換台
深川老人福祉センター平野児童館,35.67845749,139.7986623,1,1,0,1,自動ドア
古石場福祉会館古石場児童館,35.6692623,139.7946819,1,1,0,1,自動ドア・授乳スペース・ベビーベッド・おむつ交換台
江東区児童・高齢者総合施設（グランチャ東雲）,35.649148,139.803429,1,1,0,1,
